Site Name,Site Category,Site Subcategory,County,State,Provider #,Address,City,ZIP,Telephone #,# Direct Care Prsnl. FTEs,Total FTEs,# of Physician FTEs,# of Physician Assistant FTEs,# of Nurse Practitioner FTEs,# of Other Prsnl. FTEs,# of Beds,# of Certified Beds,# of SNF Beds Medicaid,# of SNF Beds,# of SNF Beds Medicare,# of Operating Rooms,# of IC/MR Beds,Is Federally Funded Health Center Site,Is Hospital-Based Site,Type,Is Rural Health Clinic Site,Approved RHC Provider #,State County FIPS Code,HHS Region,U.S. Senator Name (1),U.S. Senator Name (2),U.S. Congressional Representative Name,In U.S./Mex. Border 100 KM Area,In U.S./Mex. Border County,Rural Status,Longitude,Latitude
ENCOMPASS HEALTH HOME HEALTH,Home Health Agency,Home Health Agency,Kent County,RI,417064,300 Toll Gate Rd,Warwick,02886-4416,401-431-0200,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47238988,41.7016816
OAK HILL HEALTH & REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415027,544 Pleasant St,Pawtucket,02860-5726,401-725-8888,,,,,,,129.00,129.00,0.00,129.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3833278,41.86401056
US NAVAL HOSP,Hospital,Data not provided by CMS,Washington County,RI,41004F,,North Kingstown,2819,,,,0,0,0,0,40.00,40.00,,,,0.00,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.40421999,41.5901
US NAVAL HOSP,Hospital,Data not provided by CMS,Newport County,RI,41001F,3 Cypress St,Newport,02840-1336,,,,0,0,0,0,300.00,300.00,,,,0.00,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.32117029,41.50032523
ATHENA RHODE ISLAND HOSPICE LLC,Hospice,Hospice,Providence County,RI,411513,10 Dorrance St STE 700,Providence,02903-2014,401-238-7300,,3.3,0,,,0,,,,,,,,Not Applicable,Not Applicable,Freestanding Hospice,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41196106,41.82390357
FRESENIUS KIDNEY CARE LINCOLN,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412515,622 George Washington Hwy,Lincoln,02865-4273,401-333-4727,,,,,,2.5,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.47726103,41.93823801
ORCHARD VIEW MANOR,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415059,135 Tripps Ln,Riverside,02915-3017,401-438-2250,,,,,,,166.00,166.00,0.00,166.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.35527173,41.79057369
VA HOSP,Hospital,Data not provided by CMS,Providence County,RI,41002F,N Davis St,Providence,02908,,,,0,0,0,0,370.00,370.00,,,,0.00,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41716999,41.83558016
VETERANS AFFAIRS MEDICAL CENTER,Hospital,Data not provided by CMS,Providence County,RI,41005F,830 Chalkstone Ave,Providence,02908-4734,401-457-3042,,,0,0,0,0,78.00,78.00,,,,0.00,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43179096,41.83126301
OVERLOOK NURSING AND REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415045,14 Rock Ave,Pascoag,02859-3220,401-568-2549,,,,,,,100.00,100.00,0.00,100.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.70627122,41.95508321
BEACON HOSPICE INC,Hospice,Hospice,Providence County,RI,411510,1 Catamore Blvd,East Providence,02914-1228,401-438-0008,,100,2,,,20,,,,,,,,Not Applicable,Not Applicable,Freestanding Hospice,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.34341419,41.80246862
PAWTUCKET FALLS HEALTHCARE CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415064,70 Gill Ave,Pawtucket,02861-4315,401-949-3880,,,,,,,154.00,154.00,0.00,154.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.35214126,41.86281924
RESPIRATORY AND REHABILITATION CENTER OF RI,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415078,10 Woodland Dr,Coventry,02816-6716,401-826-2000,,,,,,,210.00,210.00,0.00,210.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.59322365,41.67236719
FRESENIUS MEDICAL CARE OF PAWTUCKET,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412511,79 Division St,Pawtucket,02860-5327,401-723-9995,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38125186,41.87296587
FRESENIUS MEDICAL CARE OF PROVIDENCE,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412505,125 Corliss St,Providence,02904-2611,401-521-9300,,,,,,5.5,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41225677,41.8415505
FRESENIUS MEDICAL CARE OF WARWICK,End Stage Renal Disease Facility,End Stage Renal Disease  ,Kent County,RI,412501,2814 Post Rd,Warwick,02886-3169,401-738-4050,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45112533,41.70814924
RIVERVIEW HEALTHCARE COMMUNITY,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415082,546 Main St,Coventry,02816-7852,401-821-6837,,,,,,,190.00,190.00,0.00,190.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.54014768,41.72736048
ROBERTS HEALTH CENTRE INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415104,25 Roberts Way,North Kingstown,02852-4173,401-294-3587,,,,,,,66.00,66.00,0.00,66.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49329712,41.58000696
HOME CARE ADVANTAGE CHC,Home Health Agency,Home Health Agency,Providence County,RI,417051,165 Burnside St,Cranston,02910-1149,401-781-3400,,,,,,5,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43848995,41.7845567
CONTINUUM CARE OF RHODE ISLAND LLC,Hospice,Hospice,Kent County,RI,411512,1350 Division Rd STE 205,West Warwick,02893-7554,401-321-8101,,5,1,,,0,,,,,,,,Not Applicable,Not Applicable,Freestanding Hospice,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50081099,41.665244
ROYAL MIDDLETOWN NURSING CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Newport County,RI,415040,193 Forest Ave,Middletown,02842-4625,401-847-2777,,,,,,,50.00,50.00,0.00,50.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.28799832,41.52785354
ROYAL OF WESTERLY NURSING CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415004,79 Beach St,Westerly,02891-2717,401-596-4925,,,,,,,66.00,66.00,0.00,66.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.82882294,41.36205241
SAINT ELIZABETH HOME EAST GREENWICH,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415010,1 Saint Elizabeth Way,East Greenwich,02818-2163,401-471-6060,,,,,,,168.00,168.00,0.00,168.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.46926133,41.64026115
HOPEHEALTH VISITING NURSE,Home Health Agency,Home Health Agency,Providence County,RI,417003,6 Blackstone Valley Pl,Lincoln,02865-1179,401-769-5670,,,,,,28.9,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.45750974,41.93715687
KENT COUNTY MEMORIAL HOSPITAL,Hospital,Short Term,Kent County,RI,410009,455 Toll Gate Rd,Warwick,02886-2759,401-737-7010,,,192,29,33,0,359.00,359.00,,,,17.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47855452,41.70484765
SCANDINAVIAN HOME INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415051,1811 Broad St,Cranston,02905-3533,401-461-1433,,,,,,,74.00,74.00,0.00,74.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.39957462,41.77642764
LANDMARK MEDICAL CENTER,Hospital,Short Term,Providence County,RI,410011,115 Cass Ave,Woonsocket,02895-4705,401-769-4100,,,16.5,0,4,376.2,214.00,214.00,,,,7.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.49594513,42.00534441
INDEPENDENCE HEALTH SERVICES LLC,Home Health Agency,Home Health Agency,Providence County,RI,417061,433 Elmwood Ave,Providence,02907-1766,401-437-8337,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Official Health Agency,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.42659745,41.800378
SILVER CREEK REHAB & HEALTHCARE CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Bristol County,RI,415031,7 Creek Ln,Bristol,02809-2401,401-253-3000,,,,,,,128.00,128.00,0.00,128.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.27694863,41.67956192
SOUTH COUNTY NURSING & REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415071,740 Oak Hill Rd,North Kingstown,02852-7205,401-294-4545,,,,,,,120.00,120.00,0.00,120.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.48790102,41.55881499
SOUTH KINGSTOWN NURSING AND REHAB CTR,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415054,2115 S County Trl,West Kingston,02892-1634,401-783-8568,,,,,,,96.00,96.00,0.00,96.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.56177383,41.50254878
NEWPORT HOSPITAL,Hospital,Short Term,Newport County,RI,410006,11 Friendship St,Newport,02840-2209,401-846-6400,,,0,1,1,0,129.00,129.00,,,,5.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.30599402,41.49770568
ST ANTOINE RESIDENCE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415106,10 Rhodes Ave,North Smithfield,02896-6987,401-767-3500,,,,,,,260.00,260.00,0.00,260.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.53815103,42.00194999
OUR LADY OF FATIMA HOSPITAL,Hospital,Short Term,Providence County,RI,410005,200 High Service Ave,North Providence,02904-5113,401-456-3000,,,19.6,0,6.15,831.6,312.00,312.00,,,,0.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.45870383,41.85603635
STILLWATER ASSISTED LIVING AND SKILLED NURSING COM,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415123,20 Austin Ave,Greenville,02828-1449,401-949-3880,,,,,,,80.00,80.00,0.00,80.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.55577297,41.87581903
SUNNY VIEW NURSING HOME INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415023,83 Corona St,Warwick,02886-1724,401-737-9193,,,,,,,57.00,57.00,0.00,57.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45933884,41.7232409
RHODE ISLAND HOSPITAL,Hospital,Short Term,Providence County,RI,410007,593 Eddy St,Providence,02903-4923,401-444-4000,,,36,31,36,3393,719.00,719.00,,,,20.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.40713828,41.8112319
ROGER WILLIAMS MEDICAL CENTER,Hospital,Short Term,Providence County,RI,410004,825 Chalkstone Ave,Providence,02908-4728,401-456-2025,,,12.55,4,0,789.39,220.00,220.00,,,,0.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43497139,41.83395017
HARMONY HOSPICE CARE LLC,Hospice,Hospice,Providence County,RI,411514,50 Maude St,Providence,02908-4325,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43394377,41.83698617
THE DAWN HILL HOME FOR REHAB & HEALTHCARE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Bristol County,RI,415050,1 Dawn Hl,Bristol,02809-3903,401-253-2300,,,,,,,133.00,133.00,0.00,133.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.26444568,41.68912454
NARRAGANSETT INDIAN HEALTH PROGRAM,Federally Qualified Health Center,Federally Qualified Health Center,Washington County,RI,411809,4533 S County Trl,Charlestown,02813-3428,401-364-1268,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.64820466,41.41614423
SOUTH COUNTY HOSPITAL INC,Hospital,Short Term,Washington County,RI,410008,100 Kenyon Ave,Wakefield,02879-4216,401-782-8020,,,11.3,0.5,3,414.71,100.00,100.00,,,,5.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49594865,41.4318398
LIFE CARE AT HOME,Home Health Agency,Home Health Agency,Providence County,RI,417058,63 Sockanosset Cross Rd,Cranston,02920-5557,401-383-2250,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45385909,41.75361901
LIFETIME MEDICAL SUPPORT SERVICES,Home Health Agency,Home Health Agency,Providence County,RI,417069,235 Lonsdale Ave,Pawtucket,02860-2717,401-333-3333,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39895787,41.8745723
NORTH MAIN STREET HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411842,530 N Main St,Providence,02904-5762,401-415-9500,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.40998117,41.83626424
HOPEHEALTH HOSPICE & PALLIATIVE CARE,Hospice,Hospice,Providence County,RI,411500,1085 N Main St,Providence,02904-5719,401-415-4200,,184,5,,,43,,,,,,,,Not Applicable,Not Applicable,Freestanding Hospice,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.40289821,41.85017933
THE MIRIAM HOSPITAL,Hospital,Short Term,Providence County,RI,410012,164 Summit Ave,Providence,02906-2853,401-793-2500,,,0,8.7,19,0,247.00,247.00,,,,16.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39751669,41.85180907
NORTH PROVIDENCE RENAL CENTER,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412506,1635 Mineral Spring Ave,North Providence,02904-4025,401-354-5340,,,,,,1.6,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.45063365,41.86389196
"MAXIM HEALTHCARE SERVICES, INC",Home Health Agency,Home Health Agency,Providence County,RI,417067,1 Cedar St STE 101,Providence,02903-1023,401-751-6333,,,,,,4,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.42051387,41.82446755
NORTHWEST COMMUNITY HEALTH CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411855,35 Village Plaza Way,North Scituate,02857-1849,401-285-5119,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.57333205,41.83626282
OLNEYVILLE HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411817,100 Curtis St,Providence,02909-3623,401-444-0540,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45109247,41.82258435
VILLAGE HOUSE NURSING & REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Newport County,RI,415074,70 Harrison Ave,Newport,02840-3879,401-849-5222,,,,,,,95.00,95.00,0.00,95.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.32242884,41.4708874
WESTERLY HOSPITAL,Hospital,Short Term,Washington County,RI,410013,25 Wells St,Westerly,02891-2922,401-596-6000,,,4,0,0,344.1,116.00,116.00,,,,4.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.82575726,41.36276345
WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,Hospital,Short Term,Providence County,RI,410010,101 Dudley St,Providence,02905-2401,401-274-1100,,,120.1,0,40.15,1388.8,167.00,167.00,,,,8.00,,Not Applicable,Not Applicable,Short - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41215518,41.810157
WARREN SKILLED NURSING AND REHABILITATION,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Bristol County,RI,415068,642 Metacom Ave,Warren,02885-2350,401-245-2860,,,,,,,63.00,63.00,0.00,63.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.26812098,41.71583088
WATERVIEW VILLA REHABILITATION AND HEALTH CARE CEN,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415042,1275 S Broadway,East Providence,02914-4932,401-438-7020,,,,,,,132.00,132.00,0.00,132.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.37267097,41.80697871
WEST SHORE HEALTH CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415028,109 W Shore Rd,Warwick,02889-1102,401-739-9440,,,,,,,145.00,145.00,0.00,145.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.4027159,41.73328636
WEST VIEW NURSING AND REHABILIATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415067,239 Legris Ave,West Warwick,02893-2940,401-828-9000,,,,,,,120.00,120.00,0.00,120.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50542112,41.69643255
WESTERLY HEALTH CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415081,280 High St,Westerly,02891-1748,401-348-0020,,,,,,,106.00,106.00,0.00,106.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.82127554,41.39576053
ELEANOR SLATER HOSPITAL,Hospital,Long Term,Providence County,RI,412001,111 Howard Ave,Cranston,02920-3001,401-462-3085,,,10,1,4,410,250.00,230.00,,,,0.00,,Not Applicable,Not Applicable,Long - Term,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.46366906,41.74357079
KINDRED HOSPICE,Hospice,Hospice,Kent County,RI,411511,2374 Post Rd STE 206,Warwick,02886-2270,401-738-1492,,33.98,0.71,,,12.38,,,,,,,,Not Applicable,Not Applicable,Freestanding Hospice,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.44405126,41.71767925
WOONSOCKET HEALTH CENTRE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415041,262 Poplar St,Woonsocket,02895-3747,401-765-2100,,,,,,,150.00,150.00,0.00,150.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.48759809,42.00852522
PRAIRIE HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411801,355 Prairie Ave,Providence,02905-1928,401-444-0570,,,,,,,,,,,,,,Yes,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41433716,41.80436942
PRIMARY CARE PARTNERS,Federally Qualified Health Center,Federally Qualified Health Center,Kent County,RI,411848,2756 Post Rd Ste 103,Warwick,02886-3003,401-384-6007,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45029118,41.70931757
NURSE ON CALL,Home Health Agency,Home Health Agency,Providence County,RI,417059,640 George Washington Hwy,Lincoln,02865-4244,401-726-7744,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.46081791,41.93464306
NURSING PLACEMENT HOME HEALTH CARE SERVICES,Home Health Agency,Home Health Agency,Providence County,RI,417055,334 East Ave,Pawtucket,02860-3889,401-728-6500,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38704551,41.8697836
BUTLER HOSPITAL,Hospital,Psychiatric,Providence County,RI,414000,345 Blackstone Blvd,Providence,02906-4800,401-455-6270,,,37.87,1,4,535.34,143.00,143.00,,,,0.00,,Not Applicable,Not Applicable,Psychiatric,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38145001,41.84334301
OCEAN STATE HOME HEALTH CARE INC,Home Health Agency,Home Health Agency,Kent County,RI,417072,64 Airport Rd,Warwick,02889-1036,401-738-2560,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.40953659,41.73334742
PROVIDENCE COMM HLTH CTRS CROSSROADS,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411838,160 Broad St,Providence,02903-4028,401-861-2403,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41725842,41.81720706
EMMA PENDLETON BRADLEY HOSPITAL,Hospital,Psychiatric,Providence County,RI,414003,1011 Veterans Memorial Pkwy,Riverside,02915-5061,401-432-1000,,,11,0,1,362,60.00,60.00,,,,0.00,,Not Applicable,Not Applicable,Psychiatric,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.36605362,41.7928806
RANDALL SQUARE HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411857,1 Randall Sq,Providence,02904-2709,401-780-2511,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41083621,41.83716894
