Nombre,Grado,Grado Dos,Especialidad,Hospital,Dirección,Número de,Ciudad,Estado,Código Postal,Ubicación,Nombre y Experto,Experto en
Sandra L. Carruthers,N.P.,,Medicina Familiar,Cardiovascular Institute at The Miriam Hospital - E Greenwich,1454 S County Trl ,Ste 2000,East Greenwich,                  RI,02818,"Cardiovascular Institute at The Miriam Hospital - E Greenwich,
                  1454 S County Trl ,
                  Ste 2000,
                  East Greenwich,
                  RI,
                  02818","Sandra L. Carruthers, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Sandra L. Carruthers,N.P.,,Medicina Familiar,"Jenks Park Pediatrics, Inc.",577 Broad St,Fl 1,Central Falls,                  RI,02863,"Jenks Park Pediatrics, Inc.,
                  577 Broad St,
                  Fl 1,
                  Central Falls,
                  RI,
                  02863","Sandra L. Carruthers, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Coventry",10 Woodland Dr,,Coventry,                  RI,02816,"GPS Physician Group, PC-Coventry,
                  10 Woodland Dr,
                  
                  Coventry,
                  RI,
                  02816","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Greenville",735 Putnam Pike,,Greenville,                  RI,02828,"GPS Physician Group, PC-Greenville,
                  735 Putnam Pike,
                  
                  Greenville,
                  RI,
                  02828","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Middletown",333 Green End Ave,,Middletown,                  RI,02842,"GPS Physician Group, PC-Middletown,
                  333 Green End Ave,
                  
                  Middletown,
                  RI,
                  02842","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-N. Kingstown",740 Oak Hill Rd,,North Kingstown,                  RI,02852,"GPS Physician Group, PC-N. Kingstown,
                  740 Oak Hill Rd,
                  
                  North Kingstown,
                  RI,
                  02852","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Pawtucket",70 Gill Ave,,Pawtucket,                  RI,02861,"GPS Physician Group, PC-Pawtucket,
                  70 Gill Ave,
                  
                  Pawtucket,
                  RI,
                  02861","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Warren",642 Metacom Ave,,Warren,                  RI,02885,"GPS Physician Group, PC-Warren,
                  642 Metacom Ave,
                  
                  Warren,
                  RI,
                  02885","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Warwick",1139 Main Ave,,Warwick,                  RI,02886,"GPS Physician Group, PC-Warwick,
                  1139 Main Ave,
                  
                  Warwick,
                  RI,
                  02886","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Dawn M. Cater,N.P.,,Medicina Familiar,"GPS Physician Group, PC-Warwick",660 Commonwealth Ave,,Warwick,                  RI,02886,"GPS Physician Group, PC-Warwick,
                  660 Commonwealth Ave,
                  
                  Warwick,
                  RI,
                  02886","Dawn M. Cater, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Timothy P. Cavanaugh,M.D.,,Medicina Familiar,Thundermist HC of South County,1 River St,,Wakefield,                  RI,02879,"Thundermist HC of South County,
                  1 River St,
                  
                  Wakefield,
                  RI,
                  02879","Timothy P. Cavanaugh, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Timothy P. Cavanaugh,M.D.,,Medicina Familiar,Thundermist HC of West Warwick,186 Providence St,,West Warwick,                  RI,02893,"Thundermist HC of West Warwick,
                  186 Providence St,
                  
                  West Warwick,
                  RI,
                  02893","Timothy P. Cavanaugh, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Timothy P. Cavanaugh,M.D.,,Medicina Familiar,Thundermist HC of Woonsocket,450 Clinton St,,Woonsocket,                  RI,02895,"Thundermist HC of Woonsocket,
                  450 Clinton St,
                  
                  Woonsocket,
                  RI,
                  02895","Timothy P. Cavanaugh, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Joseph V. Centofanti,M.D.,,Neurología,"University Neurology, Inc.",725 Reservoir Ave,Ste 308,Cranston,                  RI,02910,"University Neurology, Inc.,
                  725 Reservoir Ave,
                  Ste 308,
                  Cranston,
                  RI,
                  02910","Joseph V. Centofanti, M.D. - Neurología",Experto en: Especialista
Carolina S. Cerezo,M.D.,,Gastroenterología Pediátrica,"Lifespan Physician Group, Inc.",593 Eddy St,,Providence,                  RI,02903,"Lifespan Physician Group, Inc.,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Carolina S. Cerezo, M.D. - Gastroenterología Pediátrica",Experto en: Especialista
Carolina S. Cerezo,M.D.,,Gastroenterología Pediátrica,LPG Pediatric Group,10 N Main St,Ste 2C,Fall River,                  MA,02720,"LPG Pediatric Group,
                  10 N Main St,
                  Ste 2C,
                  Fall River,
                  MA,
                  02720","Carolina S. Cerezo, M.D. - Gastroenterología Pediátrica",Experto en: Especialista
Carolina S. Cerezo,M.D.,,Gastroenterología Pediátrica,RIH Pediatrics - 101 Dudley St,101 Dudley St,,Providence,                  RI,02905,"RIH Pediatrics - 101 Dudley St,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Carolina S. Cerezo, M.D. - Gastroenterología Pediátrica",Experto en: Especialista
Carolina S. Cerezo,M.D.,,Gastroenterología Pediátrica,RIH Pediatrics - 593 Eddy St,593 Eddy St,,Providence,                  RI,02903,"RIH Pediatrics - 593 Eddy St,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Carolina S. Cerezo, M.D. - Gastroenterología Pediátrica",Experto en: Especialista
Susana  Chan,O.D.,,Optometría,20/20 Vision Care Inc,375 Metacom Ave,,Bristol,                  RI,02809,"20/20 Vision Care Inc,
                  375 Metacom Ave,
                  
                  Bristol,
                  RI,
                  02809","Susana  Chan, O.D. - Optometría",Experto en: Especialista
Susana  Chan,O.D.,,Optometría,"Susana Chan OD, P.C. DBA ClearView EyeCare",387 Waterman Ave,,East Providence,                  RI,02914,"Susana Chan OD, P.C. DBA ClearView EyeCare,
                  387 Waterman Ave,
                  
                  East Providence,
                  RI,
                  02914","Susana  Chan, O.D. - Optometría",Experto en: Especialista
Prabjot  Channa,M.D.,,Oftalmología,Lifespan Physician Group - E. Prov,950 Warren Ave,,East Providence,                  RI,02914,"Lifespan Physician Group - E. Prov,
                  950 Warren Ave,
                  
                  East Providence,
                  RI,
                  02914","Prabjot  Channa, M.D. - Oftalmología",Experto en: Especialista
Prabjot  Channa,M.D.,,Oftalmología,LPG Ophthalmology,1 Hoppin St,Ste 202,Providence,                  RI,02903,"LPG Ophthalmology,
                  1 Hoppin St,
                  Ste 202,
                  Providence,
                  RI,
                  02903","Prabjot  Channa, M.D. - Oftalmología",Experto en: Especialista
Prabjot  Channa,M.D.,,Oftalmología,RIH Multi-Specialty - Hoppin St,1 Hoppin St,Corowest Suite 200,Providence,                  RI,02903,"RIH Multi-Specialty - Hoppin St,
                  1 Hoppin St,
                  Corowest Suite 200,
                  Providence,
                  RI,
                  02903","Prabjot  Channa, M.D. - Oftalmología",Experto en: Especialista
Johnny  Chavarria,M.D.,,Pediatría,Johnny Chavarria MD,161 Airport Rd,,Warwick,                  RI,02889,"Johnny Chavarria MD,
                  161 Airport Rd,
                  
                  Warwick,
                  RI,
                  02889","Johnny  Chavarria, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Eric  Chow,M.D.,,Medicina Interna,RIH Multi-Specialty - Hoppin St,1 Hoppin St,Corowest Suite 200,Providence,                  RI,02903,"RIH Multi-Specialty - Hoppin St,
                  1 Hoppin St,
                  Corowest Suite 200,
                  Providence,
                  RI,
                  02903","Eric  Chow, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Eric  Chow,M.D.,,Medicina Interna,RIH Pediatrics - 245 Chapman St,245 Chapman St,Ste 100,Providence,                  RI,02905,"RIH Pediatrics - 245 Chapman St,
                  245 Chapman St,
                  Ste 100,
                  Providence,
                  RI,
                  02905","Eric  Chow, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Doreen M. Ciancaglini,M.D.,,Pediatría,North Providence Pediatrics,1169 Mineral Spring Ave,,North Providence,                  RI,02904,"North Providence Pediatrics,
                  1169 Mineral Spring Ave,
                  
                  North Providence,
                  RI,
                  02904","Doreen M. Ciancaglini, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
David  Cicerchia,M.D.,,Cirugía Ortopédica,Affinity Physicians,455 Toll Gate Rd,,Warwick,                  RI,02886,"Affinity Physicians,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Affinity Physicians - Frenchtown Rd,688 Frenchtown Rd,,East Greenwich,                  RI,02818,"Affinity Physicians - Frenchtown Rd,
                  688 Frenchtown Rd,
                  
                  East Greenwich,
                  RI,
                  02818","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Affinity Physicians - Pawtucket,111 Brewster St,,Pawtucket,                  RI,02860,"Affinity Physicians - Pawtucket,
                  111 Brewster St,
                  
                  Pawtucket,
                  RI,
                  02860","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Affinity Physicians LLC,455 Toll Gate Rd,,Warwick,                  RI,02886,"Affinity Physicians LLC,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Blackstone Orthopedics and Sports Med - Prov,588 Pawtucket Ave,,Pawtucket,                  RI,02860,"Blackstone Orthopedics and Sports Med - Prov,
                  588 Pawtucket Ave,
                  
                  Pawtucket,
                  RI,
                  02860","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,CNEMG Orthopedics - Warwick,455 Toll Gate Rd,,Warwick,                  RI,02886,"CNEMG Orthopedics - Warwick,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Full Circle Primary Care,206 Cass Ave,,Woonsocket,                  RI,02895,"Full Circle Primary Care,
                  206 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
David  Cicerchia,M.D.,,Cirugía Ortopédica,Ortho Now RI,588 Pawtucket Ave,,Pawtucket,                  RI,02860,"Ortho Now RI,
                  588 Pawtucket Ave,
                  
                  Pawtucket,
                  RI,
                  02860","David  Cicerchia, M.D. - Cirugía Ortopédica",Experto en: Especialista
Sybil  Cineas,M.D.,,Pediatría,RIH Pediatrics - 245 Chapman St,245 Chapman St,Ste 100,Providence,                  RI,02905,"RIH Pediatrics - 245 Chapman St,
                  245 Chapman St,
                  Ste 100,
                  Providence,
                  RI,
                  02905","Sybil  Cineas, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Sybil  Cineas,M.D.,,Pediatría,RIH Pediatrics - 593 Eddy St,593 Eddy St,,Providence,                  RI,02903,"RIH Pediatrics - 593 Eddy St,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Sybil  Cineas, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Giulio  Ciprian,M.D.,,Medicina Interna,"Brown Medicine Pulmonary, Critical Care & Sleep Medicine-RIH",593 Eddy St,,Providence,                  RI,02903,"Brown Medicine Pulmonary, Critical Care & Sleep Medicine-RIH,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Giulio  Ciprian, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Giulio  Ciprian,M.D.,,Medicina Interna,RIH Multi-Specialty - APC 7,593 Eddy St,Apc 7,Providence,                  RI,02903,"RIH Multi-Specialty - APC 7,
                  593 Eddy St,
                  Apc 7,
                  Providence,
                  RI,
                  02903","Giulio  Ciprian, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Giulio  Ciprian,M.D.,,Medicina Interna,RWMC - Main Hospital,825 Chalkstone Ave,,Providence,                  RI,02908,"RWMC - Main Hospital,
                  825 Chalkstone Ave,
                  
                  Providence,
                  RI,
                  02908","Giulio  Ciprian, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Giulio  Ciprian,M.D.,,Medicina Interna,The Miriam Hospital - ICU,164 Summit Ave,,Providence,                  RI,02906,"The Miriam Hospital - ICU,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Giulio  Ciprian, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Nancy J. Cocchiarella,N.P.,,Medicina Interna,"Southern New England Healthcare for Women, LLC-Center for OBGYN",297 Promenade St,,Providence,                  RI,02908,"Southern New England Healthcare for Women, LLC-Center for OBGYN,
                  297 Promenade St,
                  
                  Providence,
                  RI,
                  02908","Nancy J. Cocchiarella, N.P. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Sarah L. Cohen,P.T.,,Terapia Física,"Silver Fern Practice, LLC dba Highbar",20 Commons Corner Way,Unit 12-A,South Kingstown,                  RI,02879,"Silver Fern Practice, LLC dba Highbar,
                  20 Commons Corner Way,
                  Unit 12-A,
                  South Kingstown,
                  RI,
                  02879","Sarah L. Cohen, P.T. - Terapia Física",Experto en: Especialista
Sarah L. Cohen,P.T.,,Terapia Física,"Silver Fern Practice, LLC dba Highbar",300 Industrial Way,Fl 3,Tiverton,                  RI,02878,"Silver Fern Practice, LLC dba Highbar,
                  300 Industrial Way,
                  Fl 3,
                  Tiverton,
                  RI,
                  02878","Sarah L. Cohen, P.T. - Terapia Física",Experto en: Especialista
Mauro  Colavita,M.D.,,Obstetricia y Ginecología,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Mauro  Colavita, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Mauro  Colavita,M.D.,,Obstetricia y Ginecología,Caring for Women Inc-Cranston,1500 Pontiac Ave,Ste 4,Cranston,                  RI,02920,"Caring for Women Inc-Cranston,
                  1500 Pontiac Ave,
                  Ste 4,
                  Cranston,
                  RI,
                  02920","Mauro  Colavita, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Mauro  Colavita,M.D.,,Obstetricia y Ginecología,Caring for Women Inc-Lincoln,2 Wake Robin Rd,Unit 205,Lincoln,                  RI,02865,"Caring for Women Inc-Lincoln,
                  2 Wake Robin Rd,
                  Unit 205,
                  Lincoln,
                  RI,
                  02865","Mauro  Colavita, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Mauro  Colavita,M.D.,,Obstetricia y Ginecología,Caring for Women Inc-Warren,851 Main St,,Warren,                  RI,02885,"Caring for Women Inc-Warren,
                  851 Main St,
                  
                  Warren,
                  RI,
                  02885","Mauro  Colavita, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Mauro  Colavita,M.D.,,Obstetricia y Ginecología,Caring for Women Inc-Warwick,166 Toll Gate Rd,,Warwick,                  RI,02886,"Caring for Women Inc-Warwick,
                  166 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Mauro  Colavita, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Cassandra X. Constantino,M.D.,,Medicina Interna,Medical Associates of RI,1180 Hope St,,Bristol,                  RI,02809,"Medical Associates of RI,
                  1180 Hope St,
                  
                  Bristol,
                  RI,
                  02809","Cassandra X. Constantino, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Cassandra X. Constantino,M.D.,,Medicina Interna,"Medical Associates of RI, Inc",950 Warren Ave,Ste 303,East Providence,                  RI,02914,"Medical Associates of RI, Inc,
                  950 Warren Ave,
                  Ste 303,
                  East Providence,
                  RI,
                  02914","Cassandra X. Constantino, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Grace E. Cook,N.P.,,Medicina Familiar,Blackstone Valley Central Falls Health Center,1000 Broad St,,Central Falls,                  RI,02863,"Blackstone Valley Central Falls Health Center,
                  1000 Broad St,
                  
                  Central Falls,
                  RI,
                  02863","Grace E. Cook, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Grace E. Cook,N.P.,,Medicina Familiar,Blackstone Valley HC Pawtucket,39 East Ave,,Pawtucket,                  RI,02860,"Blackstone Valley HC Pawtucket,
                  39 East Ave,
                  
                  Pawtucket,
                  RI,
                  02860","Grace E. Cook, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Grace E. Cook,N.P.,,Medicina Familiar,Blackstone Valley Health Care Main St. Medical,1145 Main St,,Pawtucket,                  RI,02860,"Blackstone Valley Health Care Main St. Medical,
                  1145 Main St,
                  
                  Pawtucket,
                  RI,
                  02860","Grace E. Cook, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,Affinity Physicians,455 Toll Gate Rd,,Warwick,                  RI,02886,"Affinity Physicians,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,Landmark Medical Center - Acute,115 Cass Ave,,Woonsocket,                  RI,02895,"Landmark Medical Center - Acute,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,Landmark Physician Office Services,225 Cass Avenue,,Woonsocket,                  RI,02895,"Landmark Physician Office Services,
                  225 Cass Avenue,
                  
                  Woonsocket,
                  RI,
                  02895","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,PHS Landmark Internal Medicine & Pulmonary,255 Cass Ave,,Woonsocket,                  RI,02895,"PHS Landmark Internal Medicine & Pulmonary,
                  255 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
A. Michael  Coppa,M.D.,,Obstetricia y Ginecología,"Southern New England Healthcare for Women, LLC-Comprehensive OBGYN",333 School St,Ste 100,Pawtucket,                  RI,02860,"Southern New England Healthcare for Women, LLC-Comprehensive OBGYN,
                  333 School St,
                  Ste 100,
                  Pawtucket,
                  RI,
                  02860","A. Michael  Coppa, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Deirdre O. Couture,N.P.,,Geriatría,Village Medical - Primary Care of Cumberland,106 Nate Whipple Hwy,Ste 101,Cumberland,                  RI,02864,"Village Medical - Primary Care of Cumberland,
                  106 Nate Whipple Hwy,
                  Ste 101,
                  Cumberland,
                  RI,
                  02864","Deirdre O. Couture, N.P. - Geriatría",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Capitol Hill Health Center,40 Candace St,,Providence,                  RI,02908,"Capitol Hill Health Center,
                  40 Candace St,
                  
                  Providence,
                  RI,
                  02908","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Crossroads Health Center,160 Broad St,,Providence,                  RI,02903,"Crossroads Health Center,
                  160 Broad St,
                  
                  Providence,
                  RI,
                  02903","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,PCHC at Randall Square,1 Randall Sq,,Providence,                  RI,02904,"PCHC at Randall Square,
                  1 Randall Sq,
                  
                  Providence,
                  RI,
                  02904","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,Providence Center- N Main,530 N Main St,,Providence,                  RI,02904,"Providence Center- N Main,
                  530 N Main St,
                  
                  Providence,
                  RI,
                  02904","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,St. Joseph Health Center - Pawtucket,249 Roosevelt Ave,,Pawtucket,                  RI,02860,"St. Joseph Health Center - Pawtucket,
                  249 Roosevelt Ave,
                  
                  Pawtucket,
                  RI,
                  02860","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Beth  Cronin,M.D.,,Obstetricia y Ginecología,St. Joseph Health Center - Providence,877 Chalkstone Ave,,Providence,                  RI,02908,"St. Joseph Health Center - Providence,
                  877 Chalkstone Ave,
                  
                  Providence,
                  RI,
                  02908","Beth  Cronin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Jeffrey  Cumplido,M.D.,,Medicina Interna,Brown Medicine - General Internal Medicine Group,593 Eddy St,,Providence,                  RI,02903,"Brown Medicine - General Internal Medicine Group,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Jeffrey  Cumplido, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Jeffrey  Cumplido,M.D.,,Medicina Interna,Coastal Medical Warren Avenue Medical,900 Warren Ave,Ste 400,East Providence,                  RI,02914,"Coastal Medical Warren Avenue Medical,
                  900 Warren Ave,
                  Ste 400,
                  East Providence,
                  RI,
                  02914","Jeffrey  Cumplido, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Alicia J. Curtin,N.P.,,Medicina General,Thundermist HC of South County,1 River St,,Wakefield,                  RI,02879,"Thundermist HC of South County,
                  1 River St,
                  
                  Wakefield,
                  RI,
                  02879","Alicia J. Curtin, N.P. - Medicina General",Experto en: Especialista
Alicia J. Curtin,N.P.,,Medicina General,Thundermist HC of West Warwick,186 Providence St,,West Warwick,                  RI,02893,"Thundermist HC of West Warwick,
                  186 Providence St,
                  
                  West Warwick,
                  RI,
                  02893","Alicia J. Curtin, N.P. - Medicina General",Experto en: Especialista
Alicia J. Curtin,N.P.,,Medicina General,Thundermist HC of Woonsocket,450 Clinton St,,Woonsocket,                  RI,02895,"Thundermist HC of Woonsocket,
                  450 Clinton St,
                  
                  Woonsocket,
                  RI,
                  02895","Alicia J. Curtin, N.P. - Medicina General",Experto en: Especialista
Shawna M. Cutting,M.D.,,Cirugía Neurológica,RIH Multi-Specialty - APC 5,593 Eddy St Apc 5,,Providence,                  RI,02903,"RIH Multi-Specialty - APC 5,
                  593 Eddy St Apc 5,
                  
                  Providence,
                  RI,
                  02903","Shawna M. Cutting, M.D. - Cirugía Neurológica",Experto en: Especialista
Shawna M. Cutting,M.D.,,Cirugía Neurológica,TMH Multi Specialty Clinical Providers,164 Summit Ave,,Providence,                  RI,02906,"TMH Multi Specialty Clinical Providers,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Shawna M. Cutting, M.D. - Cirugía Neurológica",Experto en: Especialista
Andrea P. Cuz ,,,Intérprete,Hola Hello Translation Services LLC,18 Flora St,,Providence,                  RI,02904,"Hola Hello Translation Services LLC,
                  18 Flora St,
                  
                  Providence,
                  RI,
                  02904",Andrea P. Cuz - Intérprete,Experto en: Especialista
Michele G. Cyr,M.D.,,Medicina Interna,Brown Medicine Internal Medicine Travel Clinic,375 Wampanoag Trl,,Riverside,                  RI,02915,"Brown Medicine Internal Medicine Travel Clinic,
                  375 Wampanoag Trl,
                  
                  Riverside,
                  RI,
                  02915","Michele G. Cyr, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Michele G. Cyr,M.D.,,Medicina Interna,Brown Medicine Respiratory Clinic,38 Amaral St,,Riverside,                  RI,02915,"Brown Medicine Respiratory Clinic,
                  38 Amaral St,
                  
                  Riverside,
                  RI,
                  02915","Michele G. Cyr, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
John  Czerwein,M.D.,,Cirugía Ortopédica de la Columna Vertebral,Blackstone Valley Surgicare,1526 Atwood Ave,Ste 300,Johnston,                  RI,02919,"Blackstone Valley Surgicare,
                  1526 Atwood Ave,
                  Ste 300,
                  Johnston,
                  RI,
                  02919","John  Czerwein, M.D. - Cirugía Ortopédica de la Columna Vertebral",Experto en: Especialista
John  Czerwein,M.D.,,Cirugía Ortopédica de la Columna Vertebral,RIH Multi-Specialty - Dudley St,2 Dudley St,Co-Op 1,Providence,                  RI,02905,"RIH Multi-Specialty - Dudley St,
                  2 Dudley St,
                  Co-Op 1,
                  Providence,
                  RI,
                  02905","John  Czerwein, M.D. - Cirugía Ortopédica de la Columna Vertebral",Experto en: Especialista
John  Czerwein,M.D.,,Cirugía Ortopédica de la Columna Vertebral,The Center for Orthopedics,1524 Atwood Ave,Ste 138,Johnston,                  RI,02919,"The Center for Orthopedics,
                  1524 Atwood Ave,
                  Ste 138,
                  Johnston,
                  RI,
                  02919","John  Czerwein, M.D. - Cirugía Ortopédica de la Columna Vertebral",Experto en: Especialista
John  Czerwein,M.D.,,Cirugía Ortopédica de la Columna Vertebral,University Orthopedics - Johnston,1524 Atwood Ave,Ste 140,Johnston,                  RI,02919,"University Orthopedics - Johnston,
                  1524 Atwood Ave,
                  Ste 140,
                  Johnston,
                  RI,
                  02919","John  Czerwein, M.D. - Cirugía Ortopédica de la Columna Vertebral",Experto en: Especialista
